Year,Annual CO2 emissions,Disasters,Global average temperature anomaly relative to 1961-1990,Average sea level
1960-01-01,9386421000.0,40,-0.11545958,-67.83073
1961-01-01,9414383000.0,30,-0.019999769,-60.722393749999995
1962-01-01,9746556000.0,29,-0.06404272,-66.4390605
1963-01-01,10266046000.0,41,-0.036810614,-67.0807275
1964-01-01,10823619000.0,61,-0.30586153,-75.997395
1965-01-01,11309690000.0,62,-0.20442048,-65.07239475
1966-01-01,11861708000.0,82,-0.1488976,-69.13073
1967-01-01,12236328000.0,77,-0.117539294,-69.2890625
1968-01-01,12904336000.0,80,-0.16864756,-67.947396
1969-01-01,13760840000.0,66,-0.03138624,-60.747396
1970-01-01,14898157000.0,83,-0.08506408,-65.14934600000001
1971-01-01,15502787000.0,67,-0.20588905,-59.57103125
1972-01-01,16223440000.0,69,-0.09379131,-49.32270425
1973-01-01,17083500000.0,76,0.04995016,-56.48073075
1974-01-01,17009382000.0,75,-0.17252657,-43.06928575
1975-01-01,17049979000.0,70,-0.110754214,-43.10230825
1976-01-01,17985243000.0,88,-0.2158369,-43.09308775
1977-01-01,18494652000.0,120,0.1030885,-47.152622
1978-01-01,19063955000.0,115,0.0052559716,-43.99175275
1979-01-01,19603001000.0,116,0.09085814,-48.978593000000004
1980-01-01,19482442000.0,124,0.19607204,-39.8656235
1981-01-01,19016950000.0,139,0.25001204,-28.92369575
1982-01-01,18865373000.0,164,0.034268282,-31.40462875
1983-01-01,18985900000.0,223,0.22380984,-26.60817925
1984-01-01,19641730000.0,164,0.04799352,-27.996555
1985-01-01,20305132000.0,173,0.049729742,-34.83284625
1986-01-01,20607515000.0,147,0.09568698,-33.367848
1987-01-01,21245784000.0,183,0.2430264,-31.03120975
1988-01-01,22077385000.0,199,0.2821517,-27.2527695
1989-01-01,22378970000.0,172,0.1792503,-24.84229175
1990-01-01,22752700000.0,278,0.36058238,-20.553938249999998
1991-01-01,23229475000.0,236,0.33889654,-16.08136275
1992-01-01,22567199000.0,220,0.12489683,-14.381879249999999
1993-01-01,22798350000.0,268,0.16570719,-21.177322500000002
1994-01-01,23034776000.0,252,0.23354979,-18.1936515
1995-01-01,23524491000.0,254,0.37686613,-12.365325
1996-01-01,24250161000.0,231,0.27668938,-9.51543555
1997-01-01,24395952000.0,263,0.4223085,-3.054291175
1998-01-01,24330945000.0,300,0.5773417,-7.731137125
1999-01-01,24833495000.0,343,0.32448497,-2.4915169600000002
2000-01-01,25501286000.0,424,0.33108476,-2.06249006
2001-01-01,25674930000.0,395,0.48928034,2.897798725
2002-01-01,26248288000.0,438,0.5434665,0.457521725
2003-01-01,27648650000.0,373,0.54417014,7.7933207
2004-01-01,28620194000.0,368,0.46737072,8.641742825
2005-01-01,29592103000.0,435,0.6068625,9.10275375
2006-01-01,30605767000.0,430,0.5725527,12.44428375
2007-01-01,31499735000.0,415,0.5917013,12.779394499999999
2008-01-01,32041902000.0,367,0.46564984,22.474353
2009-01-01,31493265000.0,368,0.5967816,27.585773250000003
2010-01-01,33306330000.0,415,0.6803714,36.197918
2011-01-01,34436470000.0,351,0.53769773,36.18167175
2012-01-01,34935450000.0,364,0.57760704,42.34162825
2013-01-01,35232470000.0,340,0.6235753,42.02689775
2014-01-01,35466195000.0,329,0.67287165,49.904703
2015-01-01,35463213000.0,404,0.8251144,52.179429999999996
2016-01-01,35460026000.0,349,0.9329271,56.3307115
2017-01-01,36025455000.0,364,0.84517425,55.11239075
2018-01-01,36766945000.0,323,0.76265407,52.08327225
2019-01-01,37040103000.0,413,0.8910726,60.9807395
2020-01-01,35007738000.0,407,0.9229205,65.9997375
